,title,company,location,summary,est_annual_sal
115,Lead Quantitative Analyst,SearchBankingJobs,"Atlanta, GA","The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",177500.0
116,Senior R&D Statistician,Principle Solutions Group,"Roswell, GA","R&D Statistician to assist with the research and development of new data sources. You will be responsible for the development of new credit models, identifying...",130000.0
117,Senior Data Scientist,Analytic Recruiting,"Atlanta, GA","Python, data mining, data science; The data Scientist must also be able to manage complicated projects involving multiple internal/external stakeholders and...",112500.0
118,Business Research Analyst - Entry Level,CI Radar,"Norcross, GA",Who We Are CI Radar is the premier provider of competitive intelligence services for B2B (business to business) companies. We help both startups and Fortune,31000.0
119,Epidemiologist,Centers for Disease Control and Prevention,"Atlanta, GA",Assessment of the adequacy and quality of data used in the analyses; Participate in the synthesis of social science and epidemiologic data to be applied toward...,101553.5
120,Associate Research Analyst,CSTE,"Atlanta, GA 30341","Skills with developing and presenting epidemiologic data; For more than six decades, the Council of State and Territorial Epidemiologists (CSTE) and the Centers...",51706.0
121,Data Scientist-1,The Centrics Group,"Duluth, GA 30097","2+ years’ experience with data analytics, data structures, algorithms. Experience with large data sets or Big Data (MapReduce, Hadoop, Aster, Hive, etc)....",96000.0
122,Sponsored Research Financial Analyst,Emory University,"Atlanta, GA","Responsible for post award processing of grants and contracts in the Office of Grants & Contracts. Provide account management, reconciliation, and resolution",66700.0
123,"Scientist, Med Imag Analysis",Emory University,"Atlanta, GA","The Medical Image Analysis Scientist, works with Emory Radiology & Imaging Sciences faculty to help develop image analysis and image understanding algorithms...",69900.0
124,Supervisory IT Specialist,Centers for Disease Control and Prevention,"Atlanta, GA","Direct a staff of highly technical application and data management specialists, computer experts, computer specialists, computer scientists, and project...",141158.0
125,HR Specialist,SRG,"Atlanta, GA","SharePoint Site maintenance - Maintain data integrity for ESRO's SharePoint sites, Reorganize and reformat data as required• ;...",50000.0
126,Market Research & Sales Analyst,Interesse International Inc,"Atlanta, GA",Estimate numerical data; Must see through the data and analyze data to find conclusion; Works with large amounts of data:....,65000.0
127,School Business & Human Resources (HR) Manager,Amana Academy Charter School,"Alpharetta, GA",Accounts Receivables - data entry. Invoice data entry once approved. Our intent is to “push down the 4 walls of the school” by taking students out into the...,34999.5
128,Audit Snr (Banking) - Data Analysis 60K-80K,Synergy Search Group,"Atlanta, GA","Duties will include data conversion from multiple systems into analytical software such as ACL, using data analytical techniques to validate the integrity of...",80000.0
129,Engineering Technician,DeKalb Workforce Development,"Decatur, GA"," Develop and maintains accurate field data and project documentation. With our professional staff of engineers, scientists, surveyors, planners and technicians...",31000.0
130,Certifying Scientist,Lighthouse Recruiting,"Smyrna, GA 30082",A growing clinical toxicology laboratory is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data review....,62500.0
131,Quantitative Analyst,StreetID,"New York, NY",Professional or academic experience working with large/noisy data sets. The emphasis here will be on hiring exceptional talent with a passion for turning...,120000.0
132,Policy Data Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY","Strong data analysis skills and data testing. Assisting with data cleansing, data conversion, system integrity, and system access issues....",74119.5
133,RESEARCH SCIENTIST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","OER also addresses key policy-relevant research questions, with research activities that include statistical analyses of administrative data and national survey...",77975.0
134,Research Analyst,The Real Deal,"New York, NY 10001 (Chelsea area)","Candidates must have an attention to detail and a passion for data. The Real Deal is growing its research division, including a website and proprietary data....",40000.0
135,Senior Data Scientist (Media),Averity,"New York, NY",We are looking for a Senior Data Scientist excited about the thought of heading up our new Data Science group....,150000.0
136,Senior Data Scientist,Averity,"New York, NY","Our data science needs are growing quickly, and we are looking to bring on experienced, smart data scientists excited about machine learning and business-minded...",150000.0
137,"Coordinator / Lead Scientist, Municipal Storm Sewer Systems",POLICE DEPARTMENT,"New York, NY","Maintain records of raw data; Coordinator/Lead Scientist, Municipal Storm Sewer Systems position will serve as the coordinator and lead scientist preforming...",90981.0
138,Senior Machine Learning Data Engineer,DTS - Machine Learning Practice,"New York, NY",Senior Machine Learning Developer / Data Engineer*. We are looking to hire a Senior Machine Learning Developer / Data Engineer with experience in Java or Scala...,200000.0
139,Data Scientist / Python Developer,"The Hagan-Ricci Group, Inc.","New York, NY",New York City financial services firm is seeking an experienced Data Scientist with strong Python development skills to work collaboratively with quants and IT...,250000.0
140,Quantitative Analyst for Global Quant Fund,Averity,"New York, NY",Examine and analyze data to increase alpha and decrease risk. Industry leading multi-billion dollar quant fund looking for Analysts that can drive quantitative...,225000.0
141,DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","The Data Analyst will:. Experience with data visualization techniques. Knowledge of NYC policies, programming, and data sources related to housing,....",59984.5
142,Modeler/Policy Analyst,DEPARTMENT OF FINANCE,"Manhattan, NY","Strong programming, data analysis, statistical sampling and data mining experience. Prepare reports and respond to ad-hoc queries, data and reporting requests....",73357.0
143,Senior Data Scientist,Workbridge Associates,"New York, NY",This role is for a Senior Data Scientist who has previous leadership experience and is capable of hiring addition Data Scientists as the role grows....,125000.0
144,Ecologist,DEPT OF PARKS & RECREATION,"Manhattan, NY","Compile and collect baseline data, conduct pre- and post-project monitoring and analyze and present data. Two years as a City Research Scientist Level I can be...",75143.0
145,"Data Analyst, Bureau of Veterinary and Pest Control Services",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",-Tabulating and analyzing field collected data. -Collecting field data on the Attacking Rat Reservoir Initiative (ARRI) and associated rodent management...,64055.5
146,Lead Data Scientist,Net-Consultants,"New York, NY","Guide junior data scientists in aggregating and exploring applicant data to test statistical hypotheses. Our client, a small, early stage, high growth company...",160000.0
147,City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,"New York, NY","Participating in data collection, analysis, interpretation, and generating reports on data, findings, and results....",79249.5
148,"STATISTICIAN, LEVEL I",POLICE DEPARTMENT,"New York, NY","This position will also be responsible for conducting confidential analytical work in the review, extraction, examination, and compilation of highly sensitive...",51363.0
149,Director of Data Engineering (Media),Averity,"New York, NY","Enabling our Data Scientists to create products easier with our data. First and foremost, as the Director of Data Engineering, you will be leading our...",215000.0
150,REVENUE ANALYST (STATISTICAL/ TIME SERIES ANALYSIS BACKGROUN...,Parker and Lynch,"New York, NY",Data analysis which includes working with large pools of data and manipulating information to perform analysis for management....,87500.0
151,VP of Data,Harnham,"New York, NY",VP of Data. The data team's mission is to provide the highest level of service to the community through analysing and researching all aspects of data and...,180000.0
152,Research Scientist - High Frequency Trading,Selby Jennings,"New York, NY 10167 (Midtown area)",Research Scientist - High Frequency Trading. An opportunity exists for an exceptional research scientist with a proven track record of cutting edge research...,212500.0
153,POLICY AND OPERATIONS RESEARCH | ANALYST,OFFICE OF MANAGEMENT & BUDGET,"Manhattan, NY","Work with large datasets and administrative data. Provide research and analytical support, data analysis, and draft documents and presentations related to the...",78510.5
154,Financial Research Analyst,The Custom Group of Companies,"Manhattan, NY","Financial Research Analyst Location: Midtown Employment type: Temp-to-Perm Pay rate: $25-$30/ hour Our client, a a prestigious midtown organization, is...",60000.0
155,C++/Python Algo Developer/Data Scientist,Selby Jennings,"New York, NY 10167 (Midtown area)","Previous knowledge of data structures and standard algorithms. My client, a leading investment bank located in midtown Manhattan, is looking for a strong C++...",135000.0
156,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,Datacom Technology Group,"New York, NY 10022 (Midtown area)","Should have experience conducting empirical research and working with large fundamental data sets. Will analyze and interpret relevant data, use valuation...",200000.0
157,VP of Data Science & Analytics,Selby Jennings,"New York, NY 10167 (Midtown area)",VP Data Science & Analytics. This highly collaborative Adtech firm is seeking a seasoned Data Science business leader to oversee a team of over 10 Analysts and...,175000.0
158,Senior Technician - CLM,Columbia University,"New York, NY",He/she will be responsible for maintaining all data in an organized fashion and managing supplies for the lab....,886.0
159,Modeler/Policy Analyst,NYC Department of Finance,"New York, NY","Strong programming, data analysis, statistical sampling and data mining experience. Prepare reports and respond to ad-hoc queries, data and reporting requests....",73357.0
160,Lead / Senior Data Scientist for Digital Media Company,Averity,"New York, NY","Are you a Senior Data Scientist looking to lead and grow our company's newly formed Data Science team? As a Senior / Lead Data Scientist, you will be leading...",175000.0
161,Quantitative Research – Machine Learning,Selby Jennings,"New York, NY 10167 (Midtown area)","Extract and analyze data from large, complex data sets. Experience manipulating large, complex data sets. Fluency in some selection of programming languages and...",200000.0
162,Senior / Director Data Science,Beeswax,"New York, NY","A minimum of 5 years experience in Machine learning, large-scale data mining, or applied data science. We’re seeking a senior data scientist in New York City to...",147500.0
163,Senior Data Scientist for Hedge Fund,Averity,"New York, NY","Are you Senior Data Scientist looking to join a Multi-Billion Dollar Hedge Fund? Experience with Big Data Concepts (Hadoop, Spark)....",200000.0
164,Big Data Engineer,Harnham,"New York, NY",You will join the data engineering team and work closely with the data scientists as well. Big Data Engineer....,110000.0
165,Senior Research Staff Assistant,Columbia University,"New York, NY","Work with scientists to conduct quality control, integrate and interpret data. Process and analyze airborne geophysical data including potential field data....",50000.0
166,Lead Data Engineer,ingenium,"New York, NY 10018 (Clinton area)",Lead and manage a team of data engineers and scientists working on firm's data pipeline. Data - Lead Software Engineer....,200000.0
167,Blood Bank QC Technologist,Lighthouse Recruiting,"New York, NY 10065 (Upper East Side area)",Join our Medical Laboratory Scientists Groups:. This position will perform hematological pre and post testing on specimens received from the collection sites...,58000.0
168,Senior Data Scientist for Fortune 500 Company,Averity,"New York, NY 10016 (Gramercy area)",Are you a Senior Data Scientist looking to join a Fortune 500 company?What is the Job?Our Customer & Business Analytics team is looking for a Data Scientist to...,107500.0
169,Big Data Analytics Engineer/ ETL Developer,Averity,"New York, NY","As a Data Engineer in our Data Engineering team, you will be work in collaboration with other data engineers and data scientists to help our company maintains...",105000.0
170,Capacity Building Analyst,DEPT OF YOUTH & COMM DEV SRVS,"Manhattan, NY",Ability to identify and resolve data integrity issues. Manage data collection and conduct quantitative and qualitative analysis....,76941.5
171,Senior Analyst (Biostatistician or Epidemiologist),New York City Department of Health and Mental Hygi...,"Long Island City, NY 11101","-Experience with inferential statistical analyses, publishing peer-reviewed articles, study design, data manipulation, surveillance/health data, and grant...",88331.0
172,climate scientist,Research Foundation of The City University of New...,"New York, NY","Experience with data analysis and statistical software, such as R, IDL, Matlab, etc. Experience in analysis of climate data and GCM/RCM output for developing...",61500.0
173,"Analyst, Strategy & Insights – Custom Research - copy",Univision communications inc,"New York, NY","Infographics, visual data representation skills a plus. Comfortable working with large data files and cross tabs....",55000.0
174,Quantitative Business Analyst,JEG Search,"New York, NY",The ideal candidate would have business analysis skills honed in a consulting or technology company where data analysis is a core activity....,60000.0
175,Senior Research Worker - Endocrinology,Columbia University,"New York, NY","The incumbent is also expected to assist in data collection. In addition, the incumbent will perform the necessary quality controls to monitor the material...",1088.0
176,Sr. Quantitative Finance Analyst,Next Generation Recruitment & Staffing Agency,"New York, NY","Our client, a leader financial institution Bank of America, is seeking a Sr. Quantitative Finance Analyst in NEW YORK, New York. Job description Responsible",160000.0
177,Research Analyst,Investment Management Services,"New York, NY",Responsibilities: The candidate will assist the partners in all aspects of investment research. This includes: • ; Performing regular portfolio reviews,65000.0
178,"Modeler/Data Scientist, Policy and Strategy",CONSUMER AFFAIRS,"Manhattan, NY","The Division of Data Analysis and Strategic Planning seeks a highly motivated, results oriented individual to serve as a Modeler/Data Scientist, Policy and...",65977.0
179,Research Analyst - Financial Services,"Preqin,Inc.","New York, NY","Research, Customer Service, Data Entry:. Strong analytical orientation that makes you comfortable working with numerical data sets....",45625.0
180,Health Scientist,Centers for Disease Control and Prevention,"New York, NY",Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....,117437.5
181,Bike Share Data Scientist,DEPARTMENT OF TRANSPORTATION,"Manhattan, NY","Establish and monitor best practices, policies, procedures and documentation around Citi Bike system data; Analyze data, develop statistical models, and use...",71814.5
182,Machine Learning Researcher,Execu | Search,"New York, NY",Data collection and analysis. Demonstrated ability to conduct independent research utilizing large data sets....,125000.0
183,"Director, Data Scientist Modeler",Harnham,"New York, NY","Director, Data Scientist Modeler. Essentially as a Data Scientist Modeler -Director and senior professional, you will always be required to solve challenging...",180000.0
184,Field Researcher,New York City Department of Health and Mental Hygi...,"Long Island City, NY 11101","Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",68239.0
185,Data Scientist - Financial Services,Harnham,"New York, NY","Data Scientist - Financial Services. Our client is interested in hiring a Data Scientist, essentially with experience analyzing financial and econometric data...",150000.0
186,Manager of Statistical Data,DEPT OF INFO TECH & TELECOMM,"Manhattan, NY",Create data visualizations to communicate complex ideas; The operation of data processing hardware or consoles....,79025.5
187,"Senior Environmental Surveillance Analyst, Bureau of Childca...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","-Assisting with data analytic emergency response preparedness work. -Conducting data quality assurance, including QA/QC checks for other analysts....",88331.0
188,Senior Data Scientist for Humanitarian Organization,Averity,"New York, NY",Are you a Senior Data Scientist who is passionate about big data and looking to make a real difference in the word?...,127500.0
189,Senior Equity Research Analyst,Selby Jennings,"New York, NY 10167 (Midtown area)",Senior Equity Research Analyst The firm is expanding their Equity Research department and looking for highly experienced Sell Side Equity Research Analysts,175000.0
190,Data Scientist,Big Cloud,"New York, NY","Are you an experienced, talented and creative Data Scientist who likes solving complex problems? An exciting, innovative company in the heart of New York are...",150000.0
191,Director of Data Science - Remote Role,Workbridge Associates,"New York, NY","Experience with Python, R, Machine Learning with a Data Scientist background. Hands on experience with Big Data Tools(Spark) and latest technologies....",165000.0
192,Data Scientist,Workbridge Associates,"New York, NY","An exciting start up located in the heart of Midtown NYC is looking to hire a full-time Data Scientist, paying up to $135k....",120000.0
193,Predictive Risk Analyst,ADMIN FOR CHILDREN'S SVCS,"New York, NY",Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....,76941.5
194,Catastrophe Risk Analyst - Quantitative,Selby Jennings,"New York, NY 10167 (Midtown area)",This is for a Portfolio Analyst with one of the world’s largest asset managers - dedicated to natural catastrophe and weather related risk. Responsibilities,97500.0
195,Juvenile Justice Senior Analyst,ADMIN FOR CHILDREN'S SVCS,"New York, NY",Write SQL to query data from Oracle databases. Perform statistical analyses using individual or case level data....,79249.5
196,Business Analyst - Supply,VROOM,"New York, NY",Work with our Data Scientists to develop proactive acquisition models and machine learning algorithms to identify supply and demand....,120000.0
197,Data Analysis Specialist,Green Key Resources,"New York, NY 10016 (Gramercy area)",7+ years of relevant Data Governance experience. Contribute to the overall data governance strategy to ensure the meta data developed and composed supports the...,195000.0
198,"Research Analyst, Bureau of Early Intervention",DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","Analyze BEI data and data from other large datasets, using query/analytic languages such as SAS to manipulate and clean data from databases, and applying...",76941.5
199,"Sr. Analyst, Digital Research",RAZR Recruiting + Consulting,"New York, NY",Experience with analyzing both online and TV data a plus. Track and analyze digital traffic for their entertainment content across all platforms (on/off domain...,80000.0
200,Junior Data Scientist (2 Years Experience),Averity,"New York, NY","We prefer Data Scientists with a Master's Degree. As an experienced Junior Data Scientist on our team, you will be utilizing your machine learning skills with...",85000.0
201,"Recruitment Coordinator, World Trade Center Health Registry",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",Assist Lead Scientist for Surveys with preparing and analyzing data on various studies; The Research and Survey Unit is seeking a City Research Scientist II...,79249.5
202,Research Analyst,Research Foundation of The City University of New...,"New York, NY","Data entry, cleaning, and analysis; Ability to handle and protect confidential and sensitive data with integrity....",52500.0
203,Wade & Wendy_Data Scientist/Engineer,Wade & Wendy,"New York, NY","Our Data Scientist will integrate data from web sources, real-time adaptive questioning, and human-intelligence, to develop algorithms that create smart...",100000.0
204,Sr. Statistician for Global for Top Name-Brand Company,Averity,"New York, NY 10016 (Gramercy area)",Are you a Senior Statistician looking to join a Fortune 500 company?What is the Job?Our Customer & Business Analytics team is looking for a Senior Statistician...,107500.0
205,Senior Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,"Chicago, IL","Collection, analysis, interpretation and presentation of statistical data; Under professional supervision supervises technical and clerical staff in...",115185.5
206,Supervising Environmental Soil Scientist,Metropolitan Water Reclamation District of Greater...,"Chicago, IL","Collection, analysis, interpretation and presentation of statistical data; Under direction, manages the activities of the Land Reclamation Soil Science Section....",128016.0
207,Quantitative Research Analyst,GinasTechJobs.com,"Chicago, IL",Define and implement data collection and data acquisition methods. Experience with big data or with automated trading is a plus. Quantitative Research Analyst....,180000.0
208,"Senior Data Scientist (H20, Python, and R)",Workbridge Associates,"Chicago, IL",A major Marketing company based in downtown Chicago are looking for a Senior-level Data Scientist to join their growing Data Science team....,132500.0
209,Machine Learning Engineer,Jobspring Partners,"Chicago, IL",We’ve just received our second round of funding and are excited to put it to good use by bringing on some smart and talented Data Scientists....,110000.0
210,Statistical Analyst (part-time or full-time contract),Mission Measurement,"Chicago, IL 60601 (Loop area)","Experience structuring unstructured data. For each area of social policy – e.g., education, public health, economic development, human services, etc. – the IGP...",40000.0
211,Lead Data Scientist,Analytic Recruiting,"Chicago, IL",Take analytical objectives and define data requirements. Analytics Firm seeking a Data Scientist to consult to clients and implement advanced statistical and...,140000.0
212,Statistical Analyst -- Health-7444,S.C. International,"Chicago, IL",Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare,80000.0
213,Quantitative Analyst,Silva Capital Management,"Chicago, IL 60611 (Near North Side area)",Silva Capital Management is looking for a junior quantitative analyst whose roles will include modeling stochastic risk factors underlying derivative trades,125000.0
214,Lead Data Scientist,Workbridge Associates,"Chicago, IL 60603 (Loop area)",MS in Data Science/Computer Science or RelatedExperience working with consumer driven data models in B2CStrong business intelligenceBenefits & PerksAs a...,180000.0
215,Research Analyst,InsightsNow Inc.,"Chicago, IL",Must have previous experience using Confirmit or other similar survey programming and data collection platforms....,50000.0
216,Quantitative Risk Analyst,Huxley Banking & Financial Services,"Chicago, IL","My Client, a leading Global Financial Institution is looking to hire a Quantitative Risk Analyst to join their team. The Quantitative Risk Analyst will be",110000.0
217,Academic Python Developer,Jobspring Partners,"Chicago, IL",Is genomic data something that fascinates and intrigues you? Experience with Genomic data or biological sciences is ideal but not required....,87500.0
218,Statistical Analyst,Smith Hanley Associates,"Evanston, IL",Present data findings to management and senior leadership. 2 to 3 years of statistical and data analysis work experience required....,67500.0
219,Senior Data Scientist,Workbridge Associates,"Des Plaines, IL",An established and industry leading company in the transportation and logistics space is looking for a Senior Data Scientist....,155000.0
220,Data Scientist -Fitness/Wellness Firm,Hirewell,"Chicago, IL",Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,120000.0
221,Statistical Research Scientist,Smith Hanley Associates,"Chicago, IL","Statistical Research Scientist. Provide forecasting of future trends, predictive modeling, sampling, and data estimation....",82500.0
222,Data Scientist,Hirewell,"Chicago, IL","Practical ability to visualize data, communicate about the data and utilize it effectively. You will be addressing challenging data science problems by...",85000.0
223,Director of Data Science,Workbridge Associates,"Chicago, IL","Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,...",200000.0
224,Data Scientist,Workbridge Associates,"Chicago, IL",Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,95000.0
225,Natural Language Processing Scientist,Workbridge Associates,"Chicago, IL",Hiring for a Senior Data Scientist with a strong Natural Language Processing background for a major healthcare corporation that is building out a new data...,145000.0
226,Data Scientist (Healthcare Data),Workbridge Associates,"Chicago, IL","Ability to work with unstructured healthcare data. A leading provider of healthcare analytics for hospitals, health systems and physicians is looking to grow...",110000.0
227,Research Analyst,The LaSalle Network,"Chicago, IL 60601 (Loop area)",LaSalle Network has partnered with the most reputable investment management consulting firm located in downtown Chicago looking for a Research Analyst . This,90000.0
228,Mid-Level Data Scientist,Workbridge Associates,"Chicago, IL","Data, Analytics, Scientist, Science, Python, R, SAS, SQL, Hadoop, Tableau, Analysis, Healthcare, Hospital, University, Career, Job, Chicago, IL,....",105000.0
229,MEDICAL TECHNOLOGIST III,Cook County Health & Hospitals System,"Chicago, IL","An Accredited Medical Technologist (AMT), Clinical Laboratory Scientist (CLS) or other national certification (....",55220.0
230,Data Scientist – Big Data/Artificial Intelligence,Selby Jennings,"Chicago, IL","Data Scientist – Big Data/Artificial Intelligence. Build data pipelines using big data technologies like Hadoop, Spark, etc....",150000.0
231,VP of Analytics (Deep Learning),Jobspring Partners,"Evanston, IL","Vice President, Analytics, Downtown, SQL, BI Tools, VBA, Python, Java, Agile Methodologies, Data Science, Data Engineer, Marketing Analytics, Data Scientist,...",170000.0
232,Food Scientist MS or PhD - Meat Products,Food Management Search,"Chicago, IL","Data, drawing conclusions, documenting,. A technical leadership role providing direction....",85000.0
233,Market Research Analyst - (Quantitative Research Focus),Creative Circle,"Chicago, IL","Perform quality control checks of survey websites & data. Working closely with the Market Research Director, you will help carry out quantitative research by...",70000.0
234,Quantitative Researcher – Big Data and Machine Learning,Selby Jennings,"Chicago, IL",Capable of managing large data sets. Quantitative Researcher – Big Data and Machine Learning. 3-5 years of experience with machine learning and big data...,150000.0
235,Software Scientist,Jobspring Partners,"Chicago, IL","If you’re a software engineer who’s interested in Data Science with a splash of Biology and real world applications, not only are you really smart, but you’d...",90000.0
236,Software Scientist- Python,Jobspring Partners,"Chicago, IL","If you’re a software engineer who’s interested in Data Science, petabytes of data, and researching deadly diseases, not only are you really smart, but you’d fit...",87500.0
237,R Tutor/Teacher,,"Dolton, IL 60419",I'm trying to become a data analyst or data scientist. I am currently enrolled in the Johns Hopkins University data science program;...,54000.0
238,Data Scientist,Jobspring Partners,"Chicago, IL","As a Data Scientist with this company, you will be working on a team that’s looking at advancing and building on the existing data analytics effort....",115000.0
239,Python Scientist,Jobspring Partners,"Chicago, IL","If you’re a software engineer who’s interested in Data Science and researching deadly diseases, not only are you really smart, but you’d fit in perfectly with...",85000.0
240,Tutor or Teacher - Linear Algebra,,"Chicago, IL 60611 (Near North Side area)",I am starting a career in data scientist and am in a three-month immersive program. I am interested in linear algebra and understanding some of the math behind...,54000.0
241,Tutor or Teacher - Statistics,,"Chicago, IL 60611 (Near North Side area)",I am starting a career as a data scientist and am in a three-month immersive program. I am interested in linear algebra and understanding some of the math...,54000.0
242,Middleware Python Tester (SDET/ DevOps),Jobspring Partners,"Chicago, IL",Brand new product that is used globally by the top scientists and doctors. This product is making strides in medical genomic research that will organize and...,87500.0
243,Material Laboratory Technician,Momentum Scientific,"Deerfield, IL","Assisting lead scientists with formulation development, data collection, and data interpretation. Experience with data interpretation and scientific reasoning...",33000.0
